Dates,low_degC,high_degC
1993-04,-2.41,12.36
1993-05,-1.43,17
1993-06,-3.65,18.05
1993-07,0.17,20.85
1993-08,2.3,22
1993-09,3.46,17.88
1993-10,-0.367142857142858,9.07285714285714
1993-11,-9.41,4.41
1993-12,-13.7025,7.55
1994-01,-14.57,7.55
1994-02,-12.57,6.03
1994-03,-11.21,7.5
1994-04,-9.09,12.53
1994-05,-4.65,12.67
1994-06,-6.2,17.38
1994-07,3.55,19.19
1994-08,3.29,22.91
1994-09,0.1,19.94
1994-10,-4.03,17.52
1994-11,-11.96,12.15
1994-12,-11.27,7.47
1995-01,-12.67,12.46
1995-02,-12.83,4.51
1995-03,-9.46,11.16
1995-04,-9.26,12.3
1995-05,-6.5,14.61
1995-06,0.66,19.03
1995-07,8.5,21.35
1995-08,8.48,20.86
1995-09,-1.1,16.85
1995-10,-7.78,11.46
1995-11,-17.3,9.35
1995-12,-13.72,7.05
1996-01,-12.86,7.24
1996-02,-9.46,11.32
1996-03,-15.69,7.01
1996-04,-12.37,6.38
1996-05,-7.96,11.28
1996-06,-8.55,16.92
1996-07,1.29,19.48
1996-08,4.78,20.02
1996-09,0.61,19.12
1996-10,-4.39,16.25
1996-11,-6.63,13.94
1996-12,-11.52,6.36
1997-01,-12.73,7.37
1997-02,-16.86,8.56
1997-03,-11.22,10.52
1997-04,-8.51,13.54
1997-05,-7.24,15.55
1997-06,-2.38,18.71
1997-07,6.49,22.07
1997-08,5.98,23.14
1997-09,-2.42,18.66
1997-10,-8.47,19.08
1997-11,-11.07,12.75
1997-12,-10.51,6.27
1998-01,-18.24,7.225
1998-02,-14.43,7.225
1998-03,-11,14.4
1998-04,-13.91,13.9
1998-05,-1.99,14.93
1998-06,-1.01,16.8575
1998-07,4.16166666666667,20.12
1998-08,7.12,21.87
1998-09,-0.2,17.71
1998-10,-8.13,23.3333333333333
1998-11,-7.36,14.08
1998-12,-14.11,9.43
1999-01,-12.29,4.15
1999-02,-10.52,3.5
1999-03,-15.27,9.86
1999-04,-10.44,9.61
1999-05,-17.8133333333333,13.3333333333333
1999-06,2.22222222222222,22.2222222222222
1999-07,6.66666666666667,26.4
1999-08,5.55555555555556,26.4
1999-09,-1.11111111111111,21.3888888888889
1999-10,-6.66666666666667,15.5555555555556
1999-11,-8.88888888888889,13.3333333333333
1999-12,-20,14.4444444444444
2000-01,-15,15.5555555555556
2000-02,-17.2222222222222,11.6666666666667
2000-03,-14.4444444444444,11.6666666666667
2000-04,-14.4444444444444,16.6666666666667
2000-05,-7.22222222222222,20
2000-06,-5,26.1111111111111
2000-07,2.22222222222222,26.1111111111111
2000-08,2.22222222222222,25
2000-09,1.66666666666667,25.5555555555556
2000-10,-3.37,18.8888888888889
2000-11,-14.46,14.38
2000-12,-13.48,7.6
2001-01,-16.1111111111111,12.7777777777778
2001-02,-13.3333333333333,15.5555555555556
2001-03,-13.8888888888889,15.5555555555556
2001-04,-7.77777777777778,16.1111111111111
2001-05,-7.22222222222222,22.2222222222222
2001-06,-2.22222222222222,24.7222222222222
2001-07,2.79,23.16
2001-08,4.75,23.16
2001-09,-1.86,22.37
2001-10,-10.2222222222222,20.5555555555556
2001-11,-10.2222222222222,12.7777777777778
2001-12,-8.45,14.4444444444444
2002-01,-17.64,10
2002-02,-19.32,8.1
2002-03,-15.1,10.31
2002-04,-15.35,13.39
2002-05,-8.22,19.49
2002-06,-0.11,19.88
2002-07,2.32,22.45
2002-08,5.74,22.87
2002-09,4.84,20.3
2002-10,-4.05,18.88
2002-11,-13.8888888888889,9.28
2002-12,-14.4444444444444,11.6666666666667
2003-01,-18.3333333333333,13.8888888888889
2003-02,-13.8888888888889,15.5555555555556
2003-03,-15.75,12.44
2003-04,-10.79,15.5555555555556
2003-05,-11.6666666666667,21.6666666666667
2003-06,-1.11111111111111,26.1111111111111
2003-07,6.66666666666667,26.2962962962963
2003-08,3.33333333333333,26.4
2003-09,-1.66666666666667,23.8888888888889
2003-10,-6.11111111111111,20
2003-11,-8.73,11.6666666666667
2003-12,-12.56,4.65
2004-01,-8.98,10.07
2004-02,-14.87,8.65
2004-03,-12.38,8.29
2004-04,-12.84,8.12
2004-05,-10.08,17.64
2004-06,-1.86,20.3
2004-07,7.74,22.09
2004-08,7.11,19.88
2004-09,2.6,20.47
2004-10,-9.16,19.32
2004-11,-14.4,9.09
2004-12,-17.08,7.77
2005-01,-14.42,6.9
2005-02,-15.07,1.47
2005-03,-11.2,12.7
2005-04,-10.31,13.02
2005-05,-7.63,12.88
2005-06,-4.1,18.37
2005-07,3.61,25.5555555555556
2005-08,3.88888888888889,26.1111111111111
2005-09,-5.4,24.4444444444444
2005-10,-8.71,16.04
2005-11,-17.66,7.52
2005-12,-15.24,9.69
2006-01,-12.03,9.45
2006-02,-9.3,3.11
2006-03,-10.08,11.43
2006-04,-10.83,7.5
2006-05,-8.63,15.99
2006-06,-4.26,16.55
2006-07,8.48,23.11
2006-08,7.25,20.45
2006-09,-1.72,17.65
2006-10,-4.09,15.7
2006-11,-13.3333333333333,12.82
2006-12,-13.3333333333333,12.1417391304348
2007-01,-11.49,11.4408695652174
2007-02,-16.22,10.74
2007-03,-17.7777777777778,10
2007-04,-12.11,12.56
2007-05,-7.35,16.65
2007-06,-1.09,22.11
2007-07,8.22,22.1
2007-08,6.5,18.75
2007-09,-4.03,19.42
2007-10,-6.74,13.2
2007-11,-10.69,13.4
2007-12,-15.4,10.52
2008-01,-24.06,7.79
2008-02,-15.54,12.82
2008-03,-13.22,11.64
2008-04,-13.3,13.22
2008-05,-8.7,17.77
2008-06,-6.72,18.48
2008-07,6.97,23.07
2008-08,2.77777777777778,24.4444444444444
2008-09,-2.22222222222222,20.83
2008-10,-7.22222222222222,21.6666666666667
2008-11,-11.1111111111111,15.5555555555556
2008-12,-16.6666666666667,11.1111111111111
2009-01,-16.1111111111111,8.33333333333333
2009-02,-16.1111111111111,15.5555555555556
2009-03,-12.2222222222222,13.3333333333333
2009-04,-8.88888888888889,16.1111111111111
2009-05,-4.43,20.06
2009-06,-2.22222222222222,20.77
2009-07,10.81,25.83
2009-08,8.26,26.18
2009-09,3.78,22.44
2009-10,-10.63,18.69
2009-11,-6.11,13.19
2009-12,-14.57,12.34
2010-01,-13.42,10.61
2010-02,-15.17,10.98
2010-03,-13.23,9.88
2010-04,-12.36,15.68
2010-05,-2.77777777777778,21.6666666666667
2010-06,-2.77777777777778,25
2010-07,2.77777777777778,26.4
2010-08,0,26.1111111111111
2010-09,-3.33333333333333,25
2010-10,-7.40740740740741,17.7777777777778
2010-11,-8.88888888888889,18.8888888888889
2010-12,-17.7777777777778,11.1111111111111
2011-01,-14.4444444444444,10
2011-02,-11.1111111111111,11.1111111111111
2011-03,-13.3,9.8
2011-04,-12.6,9
2011-05,-11.8,9.5
2011-06,-1.6,20
2011-07,3.8,25
2011-08,-1.66666666666667,23.8888888888889
2011-09,-1.9,22.4
2011-10,-5.6,19.5
2011-11,-15.3,15.5
2011-12,-18.1,8.3
2012-01,-12.7,9.8
2012-02,-17,4.6
2012-03,-12,12.2
2012-04,-15.1,12.2
2012-05,-10.5,10.3
2012-06,-7.5,17.2
2012-07,4.1,22.6
2012-08,9,20.5
2012-09,3.9,19.5
2012-10,-7.5,15.9
2012-11,-11.2,9.2
2012-12,-14.3,7.9
2013-01,-9.7,7.6
2013-02,-13.2,7.4
2013-03,-17.9,8.6
2013-04,-13.8,13.8
2013-05,-7.6,18.5
2013-06,-5,19.9
2013-07,6.1,22.5
2013-08,9.3,23.1
2013-09,4.6,19.3
2013-10,-7.2,18.7
2013-11,-13.1,13
2013-12,-17.7,5
2014-01,-18.5,7.4
2014-02,-15,5.8
2014-03,-9,10.6
2014-04,-12.4,12.5
2014-05,-3.4,15
2014-06,0.4,24
2014-07,9,24.1
2014-08,6.7,21
2014-09,-6.5,19.5
